SK_ID_CURR,PROB_DEFAULT,PREDIKSI,STATUS
101920,0.2114,0,LAYAK
101921,0.2959,0,LAYAK
101922,0.4754,0,LAYAK
101961,0.5454,0,LAYAK
101962,0.1357,0,LAYAK
101971,0.2892,0,LAYAK
101976,0.8639,1,TIDAK LAYAK
102002,0.6328,0,LAYAK
102005,0.2468,0,LAYAK
102007,0.8365,1,TIDAK LAYAK
102017,0.1755,0,LAYAK
102019,0.8067,1,TIDAK LAYAK
102029,0.1644,0,LAYAK
102051,0.7249,1,TIDAK LAYAK
102052,0.1075,0,LAYAK
102054,0.1019,0,LAYAK
102062,0.4098,0,LAYAK
102067,0.6511,0,LAYAK
102068,0.4227,0,LAYAK
102070,0.3541,0,LAYAK
102090,0.5239,0,LAYAK
102092,0.4536,0,LAYAK
102099,0.6835,1,TIDAK LAYAK
102100,0.3913,0,LAYAK
102112,0.5138,0,LAYAK
102113,0.2351,0,LAYAK
102122,0.6974,1,TIDAK LAYAK
102123,0.3604,0,LAYAK
102125,0.3025,0,LAYAK
102126,0.7765,1,TIDAK LAYAK
102146,0.3151,0,LAYAK
102147,0.6174,0,LAYAK
102151,0.2115,0,LAYAK
102158,0.6496,0,LAYAK
102159,0.3053,0,LAYAK
102162,0.2739,0,LAYAK
102165,0.4335,0,LAYAK
102166,0.1097,0,LAYAK
102174,0.1,0,LAYAK
102193,0.6645,0,LAYAK
102198,0.3749,0,LAYAK
102205,0.4661,0,LAYAK
102206,0.115,0,LAYAK
102218,0.2233,0,LAYAK
102221,0.1727,0,LAYAK
102230,0.5453,0,LAYAK
102238,0.4507,0,LAYAK
102248,0.3901,0,LAYAK
102252,0.7725,1,TIDAK LAYAK
102259,0.3423,0,LAYAK
102262,0.6334,0,LAYAK
102273,0.4735,0,LAYAK
102286,0.6659,0,LAYAK
102293,0.1085,0,LAYAK
102294,0.2165,0,LAYAK
102296,0.3932,0,LAYAK
102298,0.5538,0,LAYAK
102303,0.1547,0,LAYAK
102309,0.3819,0,LAYAK
102315,0.3254,0,LAYAK
102340,0.2782,0,LAYAK
102342,0.4643,0,LAYAK
102344,0.309,0,LAYAK
102346,0.5496,0,LAYAK
102347,0.1269,0,LAYAK
102374,0.1002,0,LAYAK
102380,0.1411,0,LAYAK
102387,0.1817,0,LAYAK
102393,0.1481,0,LAYAK
102403,0.1358,0,LAYAK
102413,0.2614,0,LAYAK
102414,0.1081,0,LAYAK
102415,0.2782,0,LAYAK
102416,0.5432,0,LAYAK
102439,0.3807,0,LAYAK
102441,0.3249,0,LAYAK
102443,0.0983,0,LAYAK
102444,0.5295,0,LAYAK
102445,0.5338,0,LAYAK
102448,0.3182,0,LAYAK
102449,0.3652,0,LAYAK
102450,0.6898,1,TIDAK LAYAK
102456,0.049,0,LAYAK
102458,0.5144,0,LAYAK
102459,0.3815,0,LAYAK
102465,0.2008,0,LAYAK
102470,0.7418,1,TIDAK LAYAK
102471,0.3253,0,LAYAK
102475,0.3378,0,LAYAK
102476,0.6672,0,LAYAK
102506,0.4851,0,LAYAK
102509,0.483,0,LAYAK
102519,0.1768,0,LAYAK
102522,0.3112,0,LAYAK
102545,0.2749,0,LAYAK
102549,0.251,0,LAYAK
102562,0.0633,0,LAYAK
102563,0.1884,0,LAYAK
102568,0.592,0,LAYAK
102582,0.3631,0,LAYAK
102592,0.1537,0,LAYAK
102597,0.6823,1,TIDAK LAYAK
102605,0.2578,0,LAYAK
102614,0.233,0,LAYAK
102617,0.5978,0,LAYAK
102634,0.5243,0,LAYAK
102652,0.3704,0,LAYAK
102655,0.0883,0,LAYAK
102671,0.4822,0,LAYAK
102694,0.7642,1,TIDAK LAYAK
102701,0.3165,0,LAYAK
102703,0.0881,0,LAYAK
102704,0.3203,0,LAYAK
102713,0.0737,0,LAYAK
102720,0.6743,0,LAYAK
102731,0.4161,0,LAYAK
102733,0.3154,0,LAYAK
102749,0.1564,0,LAYAK
102755,0.3777,0,LAYAK
102763,0.1396,0,LAYAK
102770,0.2511,0,LAYAK
102772,0.667,0,LAYAK
102799,0.7449,1,TIDAK LAYAK
102838,0.205,0,LAYAK
102854,0.3696,0,LAYAK
102862,0.6464,0,LAYAK
102863,0.2279,0,LAYAK
102867,0.2082,0,LAYAK
102868,0.0757,0,LAYAK
102878,0.5066,0,LAYAK
102887,0.2312,0,LAYAK
102898,0.8129,1,TIDAK LAYAK
102904,0.6327,0,LAYAK
102912,0.3441,0,LAYAK
102919,0.2722,0,LAYAK
102927,0.6036,0,LAYAK
102932,0.4111,0,LAYAK
102933,0.6248,0,LAYAK
102935,0.2219,0,LAYAK
102958,0.4631,0,LAYAK
102969,0.628,0,LAYAK
102971,0.1865,0,LAYAK
102975,0.3777,0,LAYAK
102979,0.4803,0,LAYAK
102982,0.1096,0,LAYAK
102987,0.6418,0,LAYAK
102989,0.4534,0,LAYAK
102995,0.5622,0,LAYAK
102996,0.203,0,LAYAK
103000,0.3096,0,LAYAK
103001,0.4863,0,LAYAK
103004,0.2492,0,LAYAK
103010,0.1278,0,LAYAK
103025,0.7827,1,TIDAK LAYAK
103029,0.3096,0,LAYAK
103046,0.6347,0,LAYAK
103056,0.3077,0,LAYAK
103062,0.6268,0,LAYAK
103078,0.1224,0,LAYAK
103083,0.1473,0,LAYAK
103092,0.512,0,LAYAK
103096,0.4034,0,LAYAK
103097,0.7314,1,TIDAK LAYAK
103102,0.7591,1,TIDAK LAYAK
103112,0.4434,0,LAYAK
103132,0.3355,0,LAYAK
103144,0.6931,1,TIDAK LAYAK
103145,0.4037,0,LAYAK
103146,0.0657,0,LAYAK
103147,0.6222,0,LAYAK
103158,0.0789,0,LAYAK
103171,0.3059,0,LAYAK
103173,0.2334,0,LAYAK
103184,0.2301,0,LAYAK
103195,0.7079,1,TIDAK LAYAK
103196,0.3508,0,LAYAK
103206,0.0561,0,LAYAK
103230,0.7618,1,TIDAK LAYAK
103231,0.7182,1,TIDAK LAYAK
103232,0.2587,0,LAYAK
103239,0.3752,0,LAYAK
103240,0.6091,0,LAYAK
103243,0.2002,0,LAYAK
103252,0.5421,0,LAYAK
103258,0.1948,0,LAYAK
103259,0.6292,0,LAYAK
103279,0.1465,0,LAYAK
103280,0.0554,0,LAYAK
103286,0.1836,0,LAYAK
103287,0.8686,1,TIDAK LAYAK
103290,0.2083,0,LAYAK
103298,0.2256,0,LAYAK
103315,0.1718,0,LAYAK
103319,0.4007,0,LAYAK
103334,0.6332,0,LAYAK
103336,0.3845,0,LAYAK
103345,0.3109,0,LAYAK
103368,0.1871,0,LAYAK
103371,0.8283,1,TIDAK LAYAK
103377,0.2934,0,LAYAK
103398,0.1237,0,LAYAK
103404,0.3856,0,LAYAK
103408,0.7564,1,TIDAK LAYAK
103410,0.4163,0,LAYAK
103418,0.1091,0,LAYAK
103420,0.7798,1,TIDAK LAYAK
103432,0.527,0,LAYAK
103433,0.2287,0,LAYAK
103436,0.1767,0,LAYAK
103440,0.2036,0,LAYAK
103453,0.3358,0,LAYAK
103459,0.2618,0,LAYAK
103460,0.2067,0,LAYAK
103461,0.1398,0,LAYAK
103462,0.2996,0,LAYAK
103473,0.517,0,LAYAK
103474,0.2016,0,LAYAK
103475,0.7958,1,TIDAK LAYAK
103478,0.6388,0,LAYAK
103480,0.4731,0,LAYAK
103484,0.2054,0,LAYAK
103494,0.6387,0,LAYAK
103513,0.3786,0,LAYAK
103515,0.5955,0,LAYAK
103516,0.7737,1,TIDAK LAYAK
103525,0.6268,0,LAYAK
103541,0.8269,1,TIDAK LAYAK
103544,0.185,0,LAYAK
103562,0.8192,1,TIDAK LAYAK
103570,0.7853,1,TIDAK LAYAK
103572,0.7113,1,TIDAK LAYAK
103574,0.1206,0,LAYAK
103575,0.4011,0,LAYAK
103591,0.4827,0,LAYAK
103594,0.2602,0,LAYAK
103609,0.4575,0,LAYAK
103613,0.418,0,LAYAK
103614,0.2093,0,LAYAK
103615,0.3467,0,LAYAK
103624,0.3121,0,LAYAK
103625,0.6976,1,TIDAK LAYAK
103628,0.798,1,TIDAK LAYAK
103629,0.1407,0,LAYAK
103647,0.3668,0,LAYAK
103648,0.4637,0,LAYAK
103651,0.1702,0,LAYAK
103658,0.0846,0,LAYAK
103668,0.5403,0,LAYAK
103669,0.2679,0,LAYAK
103676,0.2958,0,LAYAK
103682,0.4206,0,LAYAK
103683,0.1863,0,LAYAK
103689,0.1383,0,LAYAK
103725,0.3153,0,LAYAK
103733,0.5613,0,LAYAK
103744,0.1446,0,LAYAK
103762,0.5462,0,LAYAK
103771,0.8902,1,TIDAK LAYAK
103773,0.047,0,LAYAK
103783,0.5215,0,LAYAK
103784,0.3916,0,LAYAK
103808,0.0754,0,LAYAK
103812,0.4773,0,LAYAK
103813,0.6046,0,LAYAK
103814,0.5021,0,LAYAK
103818,0.6176,0,LAYAK
103824,0.1688,0,LAYAK
103828,0.106,0,LAYAK
103830,0.8435,1,TIDAK LAYAK
103840,0.224,0,LAYAK
103842,0.624,0,LAYAK
103847,0.7221,1,TIDAK LAYAK
103848,0.4307,0,LAYAK
103851,0.2642,0,LAYAK
103854,0.5816,0,LAYAK
103857,0.6495,0,LAYAK
103861,0.1264,0,LAYAK
103862,0.3796,0,LAYAK
103865,0.3197,0,LAYAK
103870,0.0767,0,LAYAK
103876,0.2029,0,LAYAK
103891,0.8894,1,TIDAK LAYAK
103908,0.6165,0,LAYAK
103914,0.3874,0,LAYAK
103918,0.5154,0,LAYAK
103940,0.196,0,LAYAK
103963,0.5692,0,LAYAK
103966,0.4092,0,LAYAK
103971,0.7212,1,TIDAK LAYAK
103980,0.5768,0,LAYAK
103984,0.5272,0,LAYAK
103985,0.2006,0,LAYAK
103998,0.8242,1,TIDAK LAYAK
104019,0.0766,0,LAYAK
104026,0.3677,0,LAYAK
104035,0.6212,0,LAYAK
104044,0.4669,0,LAYAK
104045,0.3787,0,LAYAK
104047,0.8112,1,TIDAK LAYAK
104051,0.2327,0,LAYAK
104058,0.4156,0,LAYAK
104063,0.2058,0,LAYAK
104066,0.7478,1,TIDAK LAYAK
104087,0.1647,0,LAYAK
104089,0.5497,0,LAYAK
104095,0.3516,0,LAYAK
104098,0.7082,1,TIDAK LAYAK
104104,0.2307,0,LAYAK
104110,0.7755,1,TIDAK LAYAK
104120,0.2722,0,LAYAK
104122,0.3169,0,LAYAK
104131,0.2323,0,LAYAK
104132,0.5571,0,LAYAK
104135,0.3141,0,LAYAK
104136,0.1744,0,LAYAK
104149,0.4137,0,LAYAK
104150,0.364,0,LAYAK
104156,0.8508,1,TIDAK LAYAK
104165,0.6039,0,LAYAK
104175,0.2738,0,LAYAK
104179,0.3127,0,LAYAK
104184,0.3587,0,LAYAK
104206,0.154,0,LAYAK
104216,0.8512,1,TIDAK LAYAK
104230,0.69,1,TIDAK LAYAK
104257,0.203,0,LAYAK
104272,0.2415,0,LAYAK
104273,0.5671,0,LAYAK
104278,0.3205,0,LAYAK
104294,0.663,0,LAYAK
104295,0.124,0,LAYAK
104297,0.1739,0,LAYAK
104298,0.3777,0,LAYAK
104308,0.5574,0,LAYAK
104318,0.2963,0,LAYAK
104319,0.3544,0,LAYAK
104320,0.6829,1,TIDAK LAYAK
104327,0.5078,0,LAYAK
104334,0.3416,0,LAYAK
104344,0.4787,0,LAYAK
104350,0.2341,0,LAYAK
104351,0.5312,0,LAYAK
104354,0.1847,0,LAYAK
104369,0.6049,0,LAYAK
104376,0.6715,0,LAYAK
104381,0.2984,0,LAYAK
104384,0.479,0,LAYAK
104391,0.1646,0,LAYAK
104394,0.1529,0,LAYAK
104398,0.8414,1,TIDAK LAYAK
104402,0.0709,0,LAYAK
104408,0.5062,0,LAYAK
104409,0.243,0,LAYAK
104410,0.8468,1,TIDAK LAYAK
104412,0.4054,0,LAYAK
104417,0.5582,0,LAYAK
104424,0.4205,0,LAYAK
104426,0.1755,0,LAYAK
104435,0.3796,0,LAYAK
104445,0.1771,0,LAYAK
104458,0.0931,0,LAYAK
104460,0.2792,0,LAYAK
104466,0.1196,0,LAYAK
104472,0.34,0,LAYAK
104473,0.4945,0,LAYAK
104479,0.1702,0,LAYAK
104480,0.1284,0,LAYAK
104482,0.5183,0,LAYAK
104499,0.0739,0,LAYAK
104501,0.0619,0,LAYAK
104502,0.2442,0,LAYAK
104506,0.7105,1,TIDAK LAYAK
104510,0.0644,0,LAYAK
104512,0.3832,0,LAYAK
104520,0.8156,1,TIDAK LAYAK
104528,0.5019,0,LAYAK
104529,0.1217,0,LAYAK
104541,0.3415,0,LAYAK
104578,0.2923,0,LAYAK
104584,0.4283,0,LAYAK
104588,0.4399,0,LAYAK
104602,0.639,0,LAYAK
104610,0.17,0,LAYAK
104611,0.7812,1,TIDAK LAYAK
104618,0.4472,0,LAYAK
104620,0.4598,0,LAYAK
104622,0.1498,0,LAYAK
104624,0.2812,0,LAYAK
104625,0.554,0,LAYAK
104634,0.4033,0,LAYAK
104639,0.5969,0,LAYAK
104646,0.2183,0,LAYAK
104647,0.3284,0,LAYAK
104652,0.164,0,LAYAK
104670,0.533,0,LAYAK
104677,0.1178,0,LAYAK
104685,0.6383,0,LAYAK
104691,0.2919,0,LAYAK
104696,0.5526,0,LAYAK
104699,0.08,0,LAYAK
104712,0.4711,0,LAYAK
104714,0.1616,0,LAYAK
104717,0.3964,0,LAYAK
104718,0.0979,0,LAYAK
104740,0.421,0,LAYAK
104741,0.2087,0,LAYAK
104743,0.0193,0,LAYAK
104744,0.1119,0,LAYAK
104747,0.5918,0,LAYAK
104767,0.3637,0,LAYAK
104772,0.5758,0,LAYAK
104776,0.7616,1,TIDAK LAYAK
104779,0.1586,0,LAYAK
104814,0.2014,0,LAYAK
104815,0.1568,0,LAYAK
104830,0.4566,0,LAYAK
104831,0.5994,0,LAYAK
104833,0.3224,0,LAYAK
104839,0.1325,0,LAYAK
104840,0.1619,0,LAYAK
104860,0.7615,1,TIDAK LAYAK
104861,0.0943,0,LAYAK
104866,0.3442,0,LAYAK
104870,0.1855,0,LAYAK
104877,0.4455,0,LAYAK
104878,0.0937,0,LAYAK
104879,0.1271,0,LAYAK
104880,0.4158,0,LAYAK
104899,0.2197,0,LAYAK
104906,0.4495,0,LAYAK
104907,0.6071,0,LAYAK
104913,0.7078,1,TIDAK LAYAK
104916,0.5593,0,LAYAK
104921,0.3414,0,LAYAK
104930,0.2981,0,LAYAK
104931,0.841,1,TIDAK LAYAK
104936,0.1691,0,LAYAK
104937,0.3081,0,LAYAK
104942,0.1449,0,LAYAK
104943,0.4914,0,LAYAK
104969,0.6548,0,LAYAK
104972,0.8182,1,TIDAK LAYAK
104988,0.6997,1,TIDAK LAYAK
105013,0.2312,0,LAYAK
105015,0.066,0,LAYAK
105019,0.4035,0,LAYAK
105027,0.3073,0,LAYAK
105030,0.573,0,LAYAK
105035,0.759,1,TIDAK LAYAK
105041,0.1455,0,LAYAK
105051,0.6034,0,LAYAK
105056,0.2539,0,LAYAK
105067,0.8409,1,TIDAK LAYAK
105071,0.5901,0,LAYAK
105072,0.1678,0,LAYAK
105074,0.5072,0,LAYAK
105091,0.402,0,LAYAK
105101,0.3868,0,LAYAK
105103,0.299,0,LAYAK
105134,0.337,0,LAYAK
105139,0.2302,0,LAYAK
105142,0.4256,0,LAYAK
105146,0.57,0,LAYAK
105163,0.3895,0,LAYAK
105168,0.4787,0,LAYAK
105172,0.1302,0,LAYAK
105176,0.8244,1,TIDAK LAYAK
105195,0.2425,0,LAYAK
105196,0.8046,1,TIDAK LAYAK
105197,0.1022,0,LAYAK
105203,0.4014,0,LAYAK
105223,0.4317,0,LAYAK
105227,0.6991,1,TIDAK LAYAK
105228,0.1173,0,LAYAK
105230,0.5358,0,LAYAK
105231,0.701,1,TIDAK LAYAK
105239,0.3156,0,LAYAK
105242,0.3756,0,LAYAK
105244,0.4151,0,LAYAK
105245,0.5011,0,LAYAK
105248,0.3512,0,LAYAK
105249,0.4122,0,LAYAK
105266,0.6575,0,LAYAK
105271,0.8106,1,TIDAK LAYAK
105276,0.3822,0,LAYAK
105282,0.3446,0,LAYAK
105292,0.4282,0,LAYAK
105297,0.1055,0,LAYAK
105332,0.2895,0,LAYAK
105333,0.2377,0,LAYAK
105343,0.5265,0,LAYAK
105344,0.2362,0,LAYAK
105345,0.6169,0,LAYAK
105357,0.3886,0,LAYAK
105359,0.4756,0,LAYAK
105366,0.4332,0,LAYAK
105367,0.4348,0,LAYAK
105370,0.1046,0,LAYAK
105377,0.2176,0,LAYAK
105390,0.1685,0,LAYAK
105399,0.0956,0,LAYAK
105403,0.5317,0,LAYAK
105404,0.3922,0,LAYAK
105414,0.3541,0,LAYAK
105417,0.5898,0,LAYAK
105425,0.6384,0,LAYAK
105452,0.4494,0,LAYAK
105454,0.743,1,TIDAK LAYAK
105456,0.5505,0,LAYAK
105470,0.2974,0,LAYAK
105471,0.1363,0,LAYAK
105483,0.5776,0,LAYAK
105493,0.5366,0,LAYAK
105508,0.4924,0,LAYAK
105514,0.3634,0,LAYAK
105515,0.1511,0,LAYAK
105528,0.8171,1,TIDAK LAYAK
105529,0.1161,0,LAYAK
105531,0.414,0,LAYAK
105532,0.3477,0,LAYAK
105558,0.091,0,LAYAK
105574,0.0563,0,LAYAK
105578,0.1674,0,LAYAK
105584,0.7531,1,TIDAK LAYAK
105595,0.5444,0,LAYAK
105617,0.6433,0,LAYAK
105618,0.446,0,LAYAK
105621,0.2593,0,LAYAK
105625,0.5487,0,LAYAK
105629,0.2858,0,LAYAK
105630,0.1111,0,LAYAK
105634,0.2412,0,LAYAK
105635,0.1705,0,LAYAK
105641,0.6529,0,LAYAK
105647,0.4817,0,LAYAK
105648,0.4731,0,LAYAK
105655,0.3079,0,LAYAK
105657,0.2677,0,LAYAK
105672,0.5378,0,LAYAK
105678,0.7072,1,TIDAK LAYAK
105682,0.3831,0,LAYAK
105691,0.3551,0,LAYAK
105692,0.2153,0,LAYAK
105706,0.3762,0,LAYAK
105712,0.4152,0,LAYAK
105720,0.2756,0,LAYAK
105734,0.1394,0,LAYAK
105735,0.2451,0,LAYAK
105736,0.704,1,TIDAK LAYAK
105737,0.1897,0,LAYAK
105738,0.7064,1,TIDAK LAYAK
105740,0.6938,1,TIDAK LAYAK
105744,0.4296,0,LAYAK
105747,0.2518,0,LAYAK
105749,0.6498,0,LAYAK
105754,0.4989,0,LAYAK
105758,0.3558,0,LAYAK
105760,0.439,0,LAYAK
105767,0.6323,0,LAYAK
105784,0.6617,0,LAYAK
